1972	4.41	1.22	3.13	1.34	1.17
1973	4.64	1.19	3.11	1.30	1.39
1974	4.62	1.16	1.45	1.24	3.93
1975	4.62	1.14	2.62	1.23	2.39
1976	4.86	1.12	2.07	1.32	2.98
1977	5.00	1.10	4.09	1.40	1.42
1978	5.18	1.07	2.75	1.44	2.65
1979	5.32	1.04	4.56	1.36	1.44
1980	5.29	1.08	3.62	1.63	0.50
1981	5.15	1.10	2.45	1.62	2.25
1982	5.11	1.12	2.13	1.70	1.49
1983	5.16	1.16	3.94	1.83	0.23
1984	5.31	1.20	2.64	1.70	2.71
1985	5.50	1.22	3.45	1.65	2.65
1986	5.58	1.25	2.17	1.73	2.21
1987	5.76	1.29	5.75	1.82	0.43
1988	5.98	1.31	4.79	1.71	1.93
1989	6.07	1.33	2.94	1.70	3.36
1990	6.20	1.31	2.49	1.82	2.27
1991	6.33	1.31	1.58	1.91	2.19
1992	6.13	1.32	1.49	2.10	2.10
1993	6.20	1.31	2.62	2.03	2.83
1994	6.24	1.31	3.58	1.90	1.41
1995	6.38	1.29	4.15	1.91	1.69
1996	6.58	1.27	2.26	1.86	3.06
1997	6.61	1.74	4.20	1.99	3.19
1998	6.59	1.19	6.01	2.09	1.43
1999	6.67	1.16	2.92	1.94	3.38
2000	6.87	1.34	2.62	1.91	3.73
2001	6.92	1.27	3.88	1.81	2.39
2002	7.07	1.46	5.03	2.15	1.04
2003	7.41	1.52	4.88	2.22	2.28
2004	7.76	1.48	3.34	2.15	3.45
2005	8.02	1.37	5.20	2.22	1.81
2006	8.29	1.42	3.73	2.28	3.02
2007	8.54	1.24	4.47	2.32	2.83
2008	8.73	1.30	3.79	2.27	3.50
2009	8.61	1.50	3.43	2.34	2.72
2010	9.05	1.38	5.18	2.31	3.13
2011	9.35	1.34	3.62	2.43	4.13
2012	9.50	1.47	5.09	2.48	2.55
2013	9.54	1.52	5.13	2.50	3.28
2014	9.61	1.66	4.32	2.58	3.72
2015	9.62	1.70	6.33	2.64	2.20
2016	9.66	1.54	6.07	2.67	2.72
